票所編號,村里,鄉鎮市區
1481,興昌里 1-3、8、 13,文山
1482,興昌里 4-7、20,文山
1483,興昌里 9-11、 17-19,文山
1484,興昌里 12、14- 16、21-25,文山
1485,試院里 1-2、4-9,文山
1486,試院里 3、24-30,文山
1487,試院里 16-23,文山
1488,試院里 10-15,文山
1489,華興里 25-30,文山
1490,華興里 7-8、 15、19-20、24,文山
1491,華興里 16、18、 21-23,文山
1492,華興里 9-14、17,文山
1493,華興里 1-6,文山
1494,明義里 1-7,文山
1495,明義里 8-14,文山
1496,明義里 15-22,文山
1497,明興里 1-8,文山
1498,明興里 9-17,文山
1499,明興里 18-24,文山
1500,明興里 25-32,文山
1501,木柵里 1-4、6-7,文山
1502,木柵里 8-12,文山
1503,木柵里 5、13- 18、25,文山
1504,木柵里 26-33,文山
1505,木柵里 19-24,文山
1506,木新里 1-7,文山
1507,木新里 8-15,文山
1508,木新里 16-23,文山
1509,木新里 24-30,文山
1510,木新里 31-35,文山
1511,順興里 1-3、10- 11、13,文山
1512,順興里 14、23- 24、26,文山
1513,順興里 4-6、 12、15,文山
1514,順興里 7-8、16- 17、25,文山
1515,順興里 9、18-22,文山
1516,忠順里 2-4、9- 11,文山
1517,忠順里 12-17,文山
1518,忠順里 1、5-8,文山
1519,樟林里 1-7,文山
1520,樟林里 8-13,文山
1521,樟林里 14-19,文山
1522,樟林里 20-25,文山
1523,樟林里 26-31,文山
1524,樟新里 1-4、12,文山
1525,樟新里 6-8、15,文山
1526,樟新里 5、10- 11、13-14,文山
1527,樟新里 9、 16- 18,文山
1528,樟文里 1-6,文山
1529,樟文里 9、13-16,文山
1530,樟文里 7-8、10- 12、17,文山
1531,樟文里 18-22,文山
1532,樟腳里 1、3-7,文山
1533,樟腳里 8-11、16,文山
1534,樟腳里 2、12-15,文山
1535,樟樹里 1-2、 9-10、16,文山
1536,樟樹里 3-8,文山
1537,樟樹里 11-15,文山
1538,萬芳里 1-4、31- 32,文山
1539,萬芳里 5-10,文山
1540,萬芳里 11-16,文山
1541,萬芳里 17-23,文山
1542,萬芳里 24-30,文山
1543,萬美里 1-7,文山
1544,萬美里 8-15,文山
1545,萬美里 16-23,文山
1546,萬美里 24-30,文山
1547,博嘉里 1-6、20,文山
1548,博嘉里 7、17-19,文山
1549,博嘉里 8-11、21,文山
1550,博嘉里 12-16,文山
1551,萬興里 1-7,文山
1552,萬興里 8-13、15,文山
1553,萬興里 14、16- 19,文山
1554,萬興里 20-25,文山
1555,萬興里 26-31,文山
1556,政大里 1-4、19- 21,文山
1557,政大里 5-8,文山
1558,政大里 9-13,文山
1559,政大里 14-18,文山
1560,指南里 15-17,文山
1561,指南里 1-3、 11、13-14、18,文山
1562,指南里 4-10、12,文山
1563,老泉里 1-9,文山
